,name,count,phonetics,meta1,soundex
0,Aaban,12,ABAN,APN,A150
1,Aadan,23,ADAN,ATN,A350
2,Aadarsh,5,ADARS,ATRX,A362
3,Aaden,3675,ADAN,ATN,A350
4,Aadhav,20,ADAV,ATF,A310
5,Aadhya,691,ADH,AT,A300
6,Aadi,334,AD,AT,A300
7,Aadil,5,ADAL,ATL,A340
8,Aadin,5,ADAN,ATN,A350
9,Aadit,24,ADAT,ATT,A300
10,Aaditya,102,ADAT,ATT,A300
11,Aadvik,7,ADVAC,ATFK,A312
12,Aadya,421,AD,AT,A300
13,Aadyn,69,ADAN,ATN,A350
14,Aahan,21,AN,AHN,A500
15,Aahana,134,AN,AHN,A500
16,Aahil,167,AL,AHL,A400
17,Aahna,7,AN,AN,A500
18,Aaiden,217,ADAN,ATN,A350
19,Aaima,5,AN,AM,A500
20,Aaira,5,AR,AR,A600
21,Aairah,5,AR,AR,A600
22,Aakash,289,ACAS,AKX,A200
23,Aalaya,5,ALY,AL,A400
24,Aalayah,122,ALY,AL,A400
25,Aaleah,10,AL,AL,A400
26,Aaleyah,356,ALY,AL,A400
27,Aalia,51,AL,AL,A400
28,Aaliah,260,AL,AL,A400
29,Aalijah,15,ALAJ,ALJ,A420
30,Aaliya,354,ALY,AL,A400
31,Aaliyah,74134,ALY,AL,A400
32,Aaliyha,27,ALY,ALH,A400
33,Aalliyah,5,ALY,AL,A400
34,Aalyah,181,AL,AL,A400
35,Aalyiah,97,AL,AL,A400
36,Aamina,15,ANAN,AMN,A500
37,Aaminah,12,ANAN,AMN,A500
38,Aamir,739,ANAR,AMR,A560
39,Aamira,16,ANAR,AMR,A560
40,Aamiyah,22,ANY,AM,A500
41,Aamori,5,ANAR,AMR,A560
42,Aanchal,6,ANCAL,ANXL,A524
43,Aanika,27,ANAC,ANK,A520
44,Aaniya,5,ANY,AN,A500
45,Aaniyah,470,ANY,AN,A500
46,Aanvi,20,ANV,ANF,A510
47,Aanya,1696,AN,AN,A500
48,Aaradhya,159,ARADH,ART,A630
49,Aaralyn,487,ARALAN,ARLN,A645
50,Aaralynn,25,ARALAN,ARLN,A645
51,Aarav,3405,ARAV,ARF,A610
52,Aaren,88,ARAN,ARN,A650
53,Aaria,11,AR,AR,A600
54,Aarian,12,ARAN,ARN,A650
55,Aariana,12,ARAN,ARN,A650
56,Aaric,17,ARAC,ARK,A620
57,Aarika,87,ARAC,ARK,A620
58,Aarin,51,ARAN,ARN,A650
59,Aarini,6,ARAN,ARN,A650
60,Aarion,23,ARAN,ARN,A650
61,Aarish,16,ARAS,ARX,A620
62,Aariv,18,ARAV,ARF,A610
63,Aariyah,72,ARY,AR,A600
64,Aariz,209,AR,ARS,A620
65,Aarna,618,ARN,ARN,A650
66,Aarnav,106,ARNAV,ARNF,A651
67,Aarohi,148,AR,ARH,A600
68,Aaron,558092,ARAN,ARN,A650
69,Aaronjames,16,ARANJAN,ARNJ,A652
70,Aaronjoshua,5,ARANJAS,ARNJ,A652
71,Aaronmichael,6,ARANACAL,ARNM,A652
72,Aarron,145,ARAN,ARN,A650
73,Aarti,22,ART,ART,A630
74,Aarush,1281,ARAS,ARX,A620
75,Aarushi,200,ARAS,ARX,A620
76,Aarvi,16,ARV,ARF,A610
77,Aarya,744,AR,AR,A600
78,Aaryan,643,ARAN,ARN,A650
79,Aaryav,11,ARAV,ARF,A610
80,Aaryn,137,ARAN,ARN,A650
81,Aasha,5,AS,AX,A200
82,Aashi,162,AS,AX,A200
83,Aashna,173,ASN,AXN,A250
84,Aashritha,5,ASRAT,AXR0,A263
85,Aashvi,55,ASV,AXF,A210
86,Aasia,5,AS,AS,A200
87,Aasim,17,ASAN,ASM,A250
88,Aasiyah,114,ASY,AS,A200
89,Aastha,61,AST,AS0,A230
90,Aavya,5,AV,AF,A100
91,Aayan,687,AYAN,AN,A500
92,Aayansh,19,AYANS,ANX,A520
93,Aayat,7,AYAT,AT,A300
94,Aayden,643,AYDAN,ATN,A350
95,Aayla,16,AYL,AL,A400
96,Aayush,524,AYAS,AX,A200
97,Aayushi,6,AYAS,AX,A200
98,Ab,95,AB,AP,A100
99,Abagail,3899,ABAGAL,APKL,A124
100,Abagayle,5,ABAGYL,APKL,A124
101,Abaigeal,5,ABAGAL,APJL,A124
102,Abanoub,16,ABANAB,APNP,A151
103,Abayomi,6,ABYAN,APM,A150
104,Abba,19,AB,AP,A100
105,Abbagail,65,ABAGAL,APKL,A124
106,Abbas,417,AB,APS,A120
107,Abbe,370,AB,AP,A100
108,Abbey,14512,ABY,AP,A100
109,Abbi,296,AB,AP,A100
110,Abbie,13105,ABY,AP,A100
111,Abbiegail,5,ABAGAL,APKL,A124
112,Abbigail,9635,ABAGAL,APKL,A124
113,Abbigale,704,ABAGAL,APKL,A124
114,Abbigayle,212,ABAGYL,APKL,A124
115,Abbott,79,ABAT,APT,A130
116,Abby,53225,ABY,AP,A100
117,Abbye,5,ABY,AP,A100
118,Abbygail,1886,ABAGAL,APKL,A124
119,Abbygale,112,ABAGAL,APKL,A124
120,Abbygayle,18,ABAGYL,APKL,A124
121,Abcde,224,ABCD,APK,A123
122,Abdalla,6,ABDAL,APTL,A134
123,Abdallah,301,ABDAL,APTL,A134
124,Abdel,30,ABDAL,APTL,A134
125,Abdelrahman,72,ABDALRANAN,APTL,A134
126,Abdi,16,ABD,APT,A130
127,Abdias,100,ABD,APTS,A132
128,Abdiaziz,15,ABDAS,APTS,A132
129,Abdiel,2501,ABDAL,APTL,A134
130,Abdifatah,11,ABDAFAT,APTF,A131
131,Abdihafid,5,ABDAFAD,APTH,A131
132,Abdikadir,6,ABDACADAR,APTK,A132
133,Abdimalik,43,ABDANALAC,APTM,A135
134,Abdinasir,10,ABDANASAR,APTN,A135
135,Abdiqani,5,ABDAGAN,APTK,A132
136,Abdirahim,5,ABDARAN,APTR,A136
137,Abdirahman,917,ABDARANAN,APTR,A136
138,Abdirizak,22,ABDARASAC,APTR,A136
139,Abdishakur,5,ABDASACAR,APTX,A132
140,Abdo,5,ABD,APT,A130
141,Abdon,28,ABDAN,APTN,A135
142,Abdou,26,ABD,APT,A130
143,Abdoul,163,ABDAL,APTL,A134
144,Abdoulaye,283,ABDALY,APTL,A134
145,Abdoulie,10,ABDALY,APTL,A134
146,Abdul,3803,ABDAL,APTL,A134
147,Abdulahi,166,ABDAL,APTL,A134
148,Abdulai,5,ABDAL,APTL,A134
149,Abdulaziz,241,ABDALAS,APTL,A134
150,Abdulla,26,ABDAL,APTL,A134
151,Abdullah,4504,ABDAL,APTL,A134
152,Abdullahi,686,ABDAL,APTL,A134
153,Abdulmalik,16,ABDALNALAC,APTL,A134
154,Abdulrahman,786,ABDALRANAN,APTL,A134
155,Abdur,16,ABDAR,APTR,A136
156,Abdurahman,6,ABDARANAN,APTR,A136
157,Abdurrahman,124,ABDARANAN,APTR,A136
158,Abe,3918,AB,AP,A100
159,Abeeha,6,AB,APH,A100
160,Abeer,32,ABAR,APR,A160
161,Abegail,37,ABAGAL,APKL,A124
162,Abel,40545,ABAL,APL,A140
163,Abelardo,3035,ABALARD,APLR,A146
164,Abelina,108,ABALAN,APLN,A145
165,Abelino,265,ABALAN,APLN,A145
166,Abella,187,ABAL,APL,A140
167,Abena,85,ABAN,APN,A150
168,Abenezer,5,ABANASAR,APNS,A152
169,Abeni,20,ABAN,APN,A150
170,Aberdeen,16,ABARDAN,APRT,A163
171,Abhay,167,ABAY,AP,A100
172,Abhi,6,AB,AP,A100
173,Abhijot,5,ABAJAT,APJT,A123
174,Abhimanyu,5,ABANAN,APMN,A150
175,Abhinav,867,ABANAV,APNF,A151
176,Abhiram,240,ABARAN,APRM,A165
177,Abhishek,213,ABASAC,APXK,A120
178,Abi,16,AB,AP,A100
179,Abid,37,ABAD,APT,A130
180,Abie,34,ABY,AP,A100
181,Abiel,429,ABAL,APL,A140
182,Abigael,449,ABAGAL,APKL,A124
183,Abigaelle,49,ABAGAL,APKL,A124
184,Abigail,330825,ABAGAL,APKL,A124
185,Abigaile,16,ABAGAL,APKL,A124
186,Abigal,39,ABAGAL,APKL,A124
187,Abigale,3666,ABAGAL,APKL,A124
188,Abigayl,5,ABAGYL,APKL,A124
189,Abigayle,4236,ABAGYL,APKL,A124
190,Abiha,7,AB,APH,A100
191,Abilene,243,ABALAN,APLN,A145
192,Abimael,340,ABANAL,APML,A154
193,Abiola,5,ABAL,APL,A140
194,Abir,33,ABAR,APR,A160
195,Abisai,352,ABAS,APS,A120
196,Able,88,ABL,APL,A140
197,Abner,3303,ABNAR,APNR,A156
198,Abou,11,AB,AP,A100
199,Aboubacar,134,ABABACAR,APPK,A126
200,Aboubakar,11,ABABACAR,APPK,A126
201,Abra,67,ABR,APR,A160
202,Abraham,76519,ABRAN,APRH,A165
203,Abrahan,390,ABRAN,APRH,A165
204,Abrahim,51,ABRAN,APRH,A165
205,Abrahm,53,ABRAN,APRM,A165
